doi,pagerank
10.2807/1560-7917.es.2020.25.5.2000062,0.021572287
10.7326/m20-0504,0.020949345
10.3390/jcm9020538,0.013939023
10.1007/s00259-020-04735-9,0.013875276
10.1002/ajh.25829,0.011782523
10.1016/j.ijantimicag.2020.105924,0.011717514
10.1016/j.jaut.2020.102433,0.011167583
10.3201/eid1002.030452,0.010778864
10.4178/epih/e2015033,0.010270156
10.1111/jebm.12376,0.008387084
10.2807/1560-7917.es.2020.25.10.2000180,0.007895732
10.1186/s40779-020-00240-0,0.007697751
10.1016/j.ijsu.2020.02.034,0.007451487
10.1007/s12519-020-00345-5,0.007303919
10.1016/j.ajic.2007.10.007,0.007291775
10.1097/ccm.0000000000004363,0.006841669
10.1038/srep35839,0.006707168
10.1016/j.tvjl.2015.02.017,0.006626051
10.4178/epih/e2015041,0.00638786
10.1101/2020.01.27.20018986,0.005179998
10.1038/s41577-020-0311-8,0.004986147
10.3201/eid0906.030264,0.004936232
10.1101/2020.03.02.20026708,0.004367716
10.1002/jmv.25748,0.003679529
10.1101/2020.03.15.20036707,0.003634968
10.1371/journal.pone.0235458,0.003596819
10.1186/s12985-015-0421-2,0.003590775
10.1111/apa.15270,0.003560532
10.1016/j.eclinm.2020.100331,0.003473171
10.3201/eid2605.200146,0.003399325
10.3390/jcm9020462,0.003246498
10.1002/ppul.24718,0.002869531
10.1016/j.jmii.2020.02.012,0.002863163
10.1101/2020.01.26.20018754,0.002829127
10.1016/j.molmed.2020.02.008,0.002693614
10.3390/v3050493,0.002572951
10.1038/s41368-020-0075-9,0.002572559
10.1186/s12889-018-5484-8,0.002564687
10.3348/kjr.2020.0078,0.00254585
10.1186/s12985-015-0439-5,0.002544125
10.3201/eid2607.200282,0.002452832
10.1101/2020.03.03.20028423,0.002430858
10.1093/jtm/taaa030,0.002417805
10.1186/s12916-014-0196-0,0.00232864
10.1007/s00330-020-06713-z,0.002249274
10.1093/ije/dyh198,0.002230296
10.1080/22221751.2020.1745095,0.002155399
10.1016/j.jaut.2020.102434,0.002154095
10.1016/j.jcv.2003.09.011,0.002097391
10.1016/j.gie.2020.03.019,0.002017324
10.1007/s15010-020-01401-y,0.002004383
10.1016/j.ijid.2020.02.060,0.001954351
10.1111/pai.13263,0.001901427
10.1111/vox.12888,0.001879206
10.1093/cvr/cvaa106,0.001867015
10.1016/j.tmrv.2020.02.003,0.001843956
10.1177/0022034520914246,0.001780931
10.1016/j.ejrad.2020.108961,0.001753055
10.1016/j.jinf.2020.02.017,0.001732906
10.1186/2049-9957-3-29,0.001729781
