title	doi	pagerank
Correspondence: Jantien A Backer (jantien.backer@rivm.nl)	10.2807/1560-7917.es.2020.25.5.2000062	0.021572287
The Incubation Period of Coronavirus Disease 2019 (COVID-19) From Publicly Reported Confirmed Cases: Estimation and Application	10.7326/m20-0504	0.020949345
Clinical Medicine Incubation Period and Other Epidemiological Characteristics of 2019 Novel Coronavirus Infections with Right Truncation: A Statistical Analysis of Publicly Available Case Data	10.3390/jcm9020538	0.013939023
Imaging and clinical features of patients with 2019 novel coronavirus SARS-CoV-2	10.1007/s00259-020-04735-9	0.013875276
Hematological findings and complications of COVID-19	10.1002/ajh.25829	0.011782523
nan	10.1016/j.ijantimicag.2020.105924	0.011717514
The epidemiology and pathogenesis of coronavirus disease (COVID-19) outbreak	10.1016/j.jaut.2020.102433	0.011167583
nan	10.3201/eid1002.030452	0.010778864
Open Access 2015 MERS outbreak in Korea: hospital-to-hospital transmission	10.4178/epih/e2015033	0.010270156
Preliminary prediction of the basic reproduction number of the Wuhan novel coronavirus 2019-nCoV	10.1111/jebm.12376	0.008387084
Correspondence: Kenji Mizumoto (mizumoto.kenji.5a@kyoto-u.ac.jp)	10.2807/1560-7917.es.2020.25.10.2000180	0.007895732
nan	10.1186/s40779-020-00240-0	0.007697751
nan	10.1016/j.ijsu.2020.02.034	0.007451487
0123456789) 1 3 World Journal of Pediatrics	10.1007/s12519-020-00345-5	0.007303919
2007 guideline for isolation precautions: preventing transmission of infectious agents in health care settings	10.1016/j.ajic.2007.10.007	0.007291775
"Scandinavian Society of Anaesthesiology and Intensive Care Medicine (SSAI) 5 Intensive Care Department, Ministry of National Guard Health Affairs"	10.1097/ccm.0000000000004363	0.006841669
Comparison of incubation period distribution of human infections with MERS-CoV in South Korea and Saudi Arabia	10.1038/srep35839	0.006707168
nan	10.1016/j.tvjl.2015.02.017	0.006626051
Epidemiologic features of the first MERS outbreak in Korea: focus on Pyeongtaek St. Mary's Hospital	10.4178/epih/e2015041	0.00638786
"Title: The incubation period of 2019-nCoV infections among travellers from Wuhan, China"	10.1101/2020.01.27.20018986	0.005179998
"The trinity of COVID-19: immunity, inflammation and intervention Nature reviews | Immunology"	10.1038/s41577-020-0311-8	0.004986147
Severe Acute Respiratory Syndrome (SARS) in Singapore: Clinical Features of Index Patient and Initial Contacts	10.3201/eid0906.030264	0.004936232
The effect of human mobility and control measures on the COVID-19 epidemic in China	10.1101/2020.03.02.20026708	0.004367716
nan	10.1002/jmv.25748	0.003679529
Temporal dynamics in viral shedding and transmissibility of COVID-19	10.1101/2020.03.15.20036707	0.003634968
Clinical characteristics of 82 cases of death from COVID-19	10.1371/journal.pone.0235458	0.003596819
Porcine epidemic diarrhea virus: An emerging and re-emerging epizootic swine virus	10.1186/s12985-015-0421-2	0.003590775
